Inhibitor,Ki_nM,IC50_nM,Kd_nM,EC50_nM,POC,Source,IMG_URL,ID_IN
BALANOL ANALOG 1,n/a,490,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00003149.png,IN0000001
AMP,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/AMP.png,IN0000002
ANP,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/ANP.png,IN0000003
CAS136194_77_9,n/a,n/a,n/a,n/a,44.44,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS136194_77_9.png,IN0000004
CAS326914_10_7,n/a,n/a,n/a,n/a,46.26,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS326914_10_7.png,IN0000005
CAS457081_03_7,n/a,n/a,n/a,n/a,48.16,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS457081_03_7.png,IN0000006
CAS622387_85_3,n/a,n/a,n/a,n/a,47.24,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS622387_85_3.png,IN0000007
CAS62996_74_1,n/a,n/a,n/a,n/a,7.36,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS62996_74_1.png,IN0000008
CAS97161_97_2,n/a,n/a,n/a,n/a,23.41,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS97161_97_2.png,IN0000009
SGV,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/SGV.png,IN0000010
CID_1357397,n/a,n/a,n/a,2390,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00031759.png,IN0000011
CID_4349596,n/a,n/a,n/a,3500,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00047934.png,IN0000012
CID_12004437,n/a,n/a,n/a,1210,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00048719.png,IN0000013
CID_16745473,n/a,n/a,n/a,730,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00050714.png,IN0000014
CID_1232518,n/a,n/a,n/a,9710,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00051787.png,IN0000015
CID_5757581,n/a,n/a,n/a,7830,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00053121.png,IN0000016
CID_1973720,n/a,n/a,n/a,670,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00054768.png,IN0000017
CID_5458165,n/a,n/a,n/a,70,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00055008.png,IN0000018
CID_16193285,n/a,n/a,n/a,120,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00057870.png,IN0000019
CID_15944971,n/a,n/a,n/a,60,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00061066.png,IN0000020
CID_16745484,n/a,n/a,n/a,110,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00061723.png,IN0000021
CID_24789764,n/a,n/a,n/a,3620,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00072975.png,IN0000022
CID_1870615,n/a,n/a,n/a,4530,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079496.png,IN0000023
CID_2566682,n/a,n/a,n/a,9420,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079499.png,IN0000024
CID_16682026,n/a,n/a,n/a,1940,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079502.png,IN0000025
CID_16745480,n/a,n/a,n/a,4380,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079503.png,IN0000026
CID_6517290,n/a,n/a,n/a,3050,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079504.png,IN0000027
CID_4109100,n/a,n/a,n/a,5010,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079507.png,IN0000028
CID_4293404,n/a,n/a,n/a,700,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079508.png,IN0000029
CID_20923253,n/a,n/a,n/a,7530,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079511.png,IN0000030
CID_24687050,n/a,n/a,n/a,720,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079512.png,IN0000031
CID_5019976,n/a,n/a,n/a,3850,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00079513.png,IN0000032
BA1,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/BA1.png,IN0000033
TG_101348,n/a,n/a,1000,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/TG_101348.png,IN0000034
AT_7519,n/a,n/a,1100,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/AT_7519.png,IN0000035
JNJ-7706621,n/a,n/a,1200,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00006866.png,IN0000036
CP_690550,n/a,n/a,1200,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/CP_690550.png,IN0000037
JNJ_7706621,n/a,n/a,1200,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/JNJ_7706621.png,IN0000038
BMS-354825,n/a,n/a,1300,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00013216.png,IN0000039
DASATINIB,n/a,n/a,1300,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/Dasatinib.png,IN0000040
PP_242,n/a,n/a,140,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/PP_242.png,IN0000041
CRIZOTINIB,n/a,n/a,1400,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/Crizotinib.png,IN0000042
TAE_684,n/a,n/a,2100,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/TAE_684.png,IN0000043
LY_317615,n/a,n/a,2200,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/LY_317615.png,IN0000044
CHEMBL603469,n/a,n/a,240,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50308060.png,IN0000045
CEP_701,n/a,n/a,240,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/CEP_701.png,IN0000046
LY333531,n/a,n/a,280,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00017055.png,IN0000047
LY_333531,n/a,n/a,280,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/LY_333531.png,IN0000048
TARCEVA,n/a,n/a,2900,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00005446.png,IN0000049
BI_2536,n/a,n/a,2900,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/BI_2536.png,IN0000050
ERLOTINIB,n/a,n/a,2900,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/Erlotinib.png,IN0000051
CHEMBL162,n/a,n/a,3.5,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50059889.png,IN0000052
