chEMBL_ID,Molecule_name,Molecule_type,Molecular_formula,Molecular_weight,Synonyms
CHEMBL506153,GW876790X,Small molecule,C14H18N8O2,330.35,GW876790X
CHEMBL188434,SB747651,Small molecule,C16H22N8O,342.41,"SB-747651, SB-747651A"
CHEMBL494089,GSK690693,Small molecule,C21H27N7O3,425.49,GSK690693
CHEMBL521179,SR3677,Small molecule,C22H24N4O4,408.46,SR-3677
CHEMBL474390,FRENOLICIN B,Small molecule,C18H16O6,328.32,Frenolicin B
CHEMBL444165,DEOXYFRENOLICIN,Small molecule,C18H18O6,330.34,deoxyfrenolicin
CHEMBL3112866,SAR260301,Small molecule,C19H22N4O3,354.41,SAR-260301
CHEMBL104264,H89,Small molecule,C20H20BrN3O2S,446.37,H-89
CHEMBL1079175,MK2206,Small molecule,C25H21N5O,407.48,MK-2206
CHEMBL608533,MIDOSTAURIN,Small molecule,C35H30N4O4,570.65,"NVP-PKC412, PKC-412, Midostaurin, CGP-41251, Rydapt"
CHEMBL603469,LESTAURTINIB,Small molecule,C26H21N3O4,439.47,"A-1544750, KT-5555, SP-924, CEP-701, Cep-701, SPM-924, Lestaurtinib, SP924, KT-555, A-154475"
CHEMBL502835,NINTEDANIB,Small molecule,C31H33N5O4,539.64,"Nintedanib, BIBF-1120, Vargatef, Ofev"
CHEMBL2177390,IPATASERTIB,Small molecule,C24H32ClN5O2,458.01,"RG-7440, Ipatasertib, GDC-0068"
CHEMBL209148,BMS509744,Small molecule,C32H41N5O4S2,623.85,BMS-509744
CHEMBL201511,MALEIMIDE,Small molecule,C21H18N2O5,378.38,Maleimide
CHEMBL391738,SKS927,Small molecule,C27H27Cl2N5O2,524.45,SKS-927
CHEMBL223360,LINIFANIB,Small molecule,C21H18FN5O,375.41,"RG-3635, Linifanib, AL-39324, ABT-869"
CHEMBL237570,SB630812,Small molecule,C28H25N3O2S,467.59,SB-630812
CHEMBL1983268,ENTRECTINIB,Small molecule,C31H34F2N6O2,560.65,"Entrectinib, NMS-E628, RXDX-101"
CHEMBL3137336,UPROSERTIB,Small molecule,C18H16Cl2F2N4O2,429.25,"GSK2141795, Uprosertib, GSK2141795C"
CHEMBL372764,PERIFOSINE,Small molecule,C25H52NO4P,461.67,"KRX-0401, Perifosine"
CHEMBL379300,A443654,Small molecule,C24H23N5O,397.48,"A-443654, A-4436554"
CHEMBL595349,"Benzene-1,2,3,4-Tetrayl Tetrakis(Hydrogen Phosphate)",Small molecule,C6H10O16P4,462.03,"Benzene-1,2,3,4-Tetrayl Tetrakis(Hydrogen Phosphate)"
CHEMBL379218,A674563,Small molecule,C22H22N4O,358.45,A-674563
CHEMBL263664,CCT128930,Small molecule,C18H20ClN5,341.85,CCT128930
CHEMBL609039,BI90H6,Small molecule,C8H9N5O2S3,303.39,BI-90H6
CHEMBL611079,BI90H9,Small molecule,C8H9N5O3S3,319.39,BI-90H9
CHEMBL599111,BI90H10,Small molecule,C15H15N5O4S3,425.52,BI-90H10
CHEMBL599518,BI98A10,Small molecule,C9H11N5O2S3,317.42,BI-98A10
CHEMBL1089661,PTR6154,Protein,C41H71N15O8,902.12,PTR-6154
CHEMBL1096290,GSK1000163A,Small molecule,C20H25N7O2,395.47,GSK1000163A
CHEMBL1096634,GSK943949A,Small molecule,C23H25N7O3,447.5,GSK943949A
CHEMBL1096626,GSK938890A,Small molecule,C23H25N7O3,447.5,GSK938890A
CHEMBL482967,CYC116,Small molecule,C18H20N6OS,368.47,CYC-116
CHEMBL1336,SORAFENIB,Small molecule,C21H16ClF3N4O3,464.83,"Sorafenib, BAY-43-9006, Nexavar"
CHEMBL124660,TANDUTINIB,Small molecule,C31H42N6O4,562.72,"CT-53518, MLN-518, MLN-0518, Tandutinib"
CHEMBL1240703,CGP52421,Small molecule,C35H30N4O5,586.65,CGP-52421
CHEMBL535,SUNITINIB,Small molecule,C22H27FN4O2,398.48,"Sunitinib, Sutent, SU-11248, Sutent"
CHEMBL576982,QUIZARTINIB,Small molecule,C29H32N6O4S,560.68,"AC010220, AC220, Quizartinib, ASP-2689, AC-220"
CHEMBL1448,NICLOSAMIDE,Small molecule,C13H8Cl2N2O4,327.12,"BAY-2353, Niclosamide, Lintex, Yomesan, Niclocide, Ex A Lint, Nicloside"
CHEMBL1765740,GSK2334470,Small molecule,C25H34N8O,462.6,GSK2334470
CHEMBL466154,NORLICHEXANTHONE,Small molecule,C14H10O5,258.23,Norlichexanthone
CHEMBL454440,ANOMALIN A,Small molecule,C14H10O6,274.23,Anomalin A
CHEMBL389685,7-Azaindole,Small molecule,C7H6N2,118.14,"7-Azaindole, 1H-Pyrrolo[2,3-B]Pyridine"
CHEMBL86795,INDAZOLE,Small molecule,C7H6N2,118.14,1H-Indazole
CHEMBL1852688,BGJ398,Small molecule,C26H31Cl2N7O3,560.49,"NVP-BGJ398, BGJ-398"
CHEMBL1908397,KW2449,Small molecule,C20H20N4O,332.41,KW-2449
CHEMBL1908391,MASITINIB,Small molecule,C28H30N6OS,498.66,"Masitinib, AB-1010, Masivet, Kinavet"
CHEMBL601719,CRIZOTINIB,Small molecule,C21H22Cl2FN5O,450.35,"PF-2341066, Crizotinib, Xalkori"
CHEMBL464552,GSK1838705A,Small molecule,C27H29FN8O3,532.58,GSK1838705A
CHEMBL300138,ENZASTAURIN,Small molecule,C32H29N5O2,515.62,"Enzastaurin, LY-317615"
CHEMBL475251,R406,Small molecule,C22H23FN6O5,470.46,R-406
CHEMBL941,IMATINIB,Small molecule,C29H31N7O,493.62,"Gleevec, STI-571, Imatinib"
CHEMBL513909,BI2536,Small molecule,C28H39N7O3,521.67,BI-2536
CHEMBL230011,TG100115,Small molecule,C18H14N6O2,346.35,TG100-115
CHEMBL386051,PD17395,Small molecule,C21H16Cl2N4OS,443.36,"PD-17395, PD-0173955"
CHEMBL1789941,RUXOLITINIB,Small molecule,C17H18N6,306.37,"INCB-018424, Ruxolitinib, Jakavi"
CHEMBL553,ERLOTINIB,Small molecule,C22H23N3O4,393.44,"CP-358774, R-1415, Ro-508231, RG-1415, OSI-774, Erlotinib, Tarceva"
CHEMBL215152,AZD1152HQPA,Small molecule,C26H30FN7O3,507.57,"AZD-1152-HQPA, Barasertib"
CHEMBL522892,DOVITINIB,Small molecule,C21H21FN6O,392.44,"NVP-TKI258, Dovitinib, CHIR-258, TKI-258, GFKI-258"
CHEMBL450786,PHA665752,Small molecule,C32H34Cl2N4O4S,641.62,"TCMDC-125885, PHA-665752"
CHEMBL573339,PI103,Small molecule,C19H16N4O3,348.36,PI-103
CHEMBL1421,DASATINIB,Small molecule,C22H26ClN7O2S,488.02,"Dasatinib, BMS-354825, BMS-354825-03, Dasatinib, Sprycel"
CHEMBL377300,BRIVANIB,Small molecule,C19H19FN4O3,370.38,"BMS-540215, Brivanib"
CHEMBL608154,ML120B,Small molecule,C19H15ClN4O2,366.81,ML-120B
CHEMBL1614701,SELUMETINIB,Small molecule,C17H15BrClFN4O3,457.69,"AZD-6244, ARRY-142886, ARRY-886, Selumetinib"
CHEMBL119385,NEFLAMAPIMOD,Small molecule,C19H9Cl2F2N3OS,436.27,"VD-31, VRT-031745, VX-745, Neflamapimod, 745"
CHEMBL91829,RUBOXISTAURIN,Small molecule,C28H28N4O3,468.56,"Ruboxistaurin, LY-333531, Arxxant"
CHEMBL296468,BMS387032,Small molecule,C17H24N4O2S2,380.54,"BMS-387032, SNS-032"
CHEMBL558752,RAF265,Small molecule,C24H16F6N6O,518.42,"NVP-RAF265, CHIR-265, RAF-265"
CHEMBL249697,BMS345541,Small molecule,C14H17N5,255.32,BMS-345541
CHEMBL1908394,GSK461364,Small molecule,C27H28F3N5O2S,543.62,"GSK461364, GSK461364A"
CHEMBL509032,TAE684,Small molecule,C30H40ClN7O3S,614.22,NVP-TAE684
CHEMBL1173655,AFATINIB,Small molecule,C24H25ClFN5O3,485.95,"BIBW-2992, Afatinib, Gilotrif, Giotrif"
CHEMBL554,LAPATINIB,Small molecule,C29H26ClFN4O4S,581.07,"GW-2016, GW-572016, Lapatinib, Tyverb"
CHEMBL445813,AT7519,Small molecule,C16H17Cl2N5O2,382.25,AT-7519
CHEMBL1908396,Ki20227,Small molecule,C24H24N4O5S,480.55,Ki-20227
CHEMBL1230020,PLX4720,Small molecule,C17H14ClF2N3O3S,413.83,PLX-4720
CHEMBL180022,NERATINIB,Small molecule,C30H29ClN6O3,557.05,"Neratinib, WAY-179272, CDP-820, HKI-272"
CHEMBL939,GEFITINIB,Small molecule,C22H24ClFN4O3,446.91,"Iressa, Gefitinib, ZD-1839, Iressa"
CHEMBL255863,NILOTINIB,Small molecule,C28H22F3N7O,529.53,"Nilotinib, AMN-107, Tasigna"
CHEMBL259084,MLN8054,Small molecule,C25H15ClF2N4O2,476.87,MLN-8054
CHEMBL1236107,SGX523,Small molecule,C18H13N7S,359.42,SGX-523
CHEMBL1287853,FEDRATINIB,Small molecule,C27H36N6O3S,524.69,"SAR-302503, TG-101348, Fedratinib, TG101348"
CHEMBL572881,MOTESANIB,Small molecule,C22H23N5O,373.46,"AMG-706, Motesanib"
CHEMBL1289926,AXITINIB,Small molecule,C22H18N4OS,386.48,"AG-013736, AG-13736, Axitinib, Inlyta"
CHEMBL1721885,SU014813,Small molecule,C23H27FN4O4,442.49,"SU-014813, SU-14813"
CHEMBL428690,ALVOCIDIB,Small molecule,C21H20ClNO5,401.85,"L-868275, NSC-649890, L-86-8275, Flavopiridol, MDL-107826A, Alvocidib, HMR-1275, HL-275"
CHEMBL31965,CANERTINIB,Small molecule,C24H25ClFN5O3,485.95,"CI-1033, Canertinib"
CHEMBL491473,CEDIRANIB,Small molecule,C25H27FN4O3,450.51,"ZD-2171, Cediranib, AZD-2171, Recentin"
CHEMBL574738,AST487,Small molecule,C26H30F3N7O2,529.57,"AST-487, NVP-AST487"
CHEMBL572878,TOZASERTIB,Small molecule,C23H28N8OS,464.6,"VX-68, VX-680, MK-0457, Tozasertib, MK-045"
CHEMBL261849,GW632580X,Small molecule,C20H22N4O3,366.42,"GW632580X, GW2580"
CHEMBL24828,VANDETANIB,Small molecule,C22H24BrFN4O2,475.36,"GNF-Pf-2188, ZD-64, Vandetanib, ZD-6474, Caprelsa, Zactima"
CHEMBL384304,RG547,Small molecule,C18H21F2N5O4S,441.46,"RG-547, R-547"
CHEMBL477772,PAZOPANIB,Small molecule,C21H23N7O2S,437.53,"Pazopanib, GW786034, Votrient"
CHEMBL103667,DORAMAPIMOD,Small molecule,C31H37N5O3,527.67,"BIRB-796, Doramapimod"
CHEMBL101253,VATALANIB,Small molecule,C20H15ClN4,346.82,"BAY-86-5127, PTK-787, CGP-79787, K-222584, ZK-222584, PTK787, NVP-PTK787, Vatalanib"
CHEMBL1908842,JNJ28312141,Small molecule,C26H32N6O2,460.58,JNJ-28312141
CHEMBL521851,PICTILISIB,Small molecule,C23H27N7O3S2,513.65,"RG-7321, Pictilisib, GDC-0941"
CHEMBL288441,BOSUTINIB,Small molecule,C26H29Cl2N5O3,530.46,"Bosutinib Monohydrate, SKI-606, Bosutinib, Bosulif"
CHEMBL221959,TOFACITINIB,Small molecule,C16H20N6O,312.38,"Tasocitinib, CP-690550, Tofacitinib, CP-690, 550"
CHEMBL10,SB203580,Small molecule,C21H16FN3OS,377.44,SB-203580
CHEMBL105442,CI1040,Small molecule,C17H14ClF2IN2O2,478.66,"PD-184352, PD-18435, CI-1040"
CHEMBL466143,DEMETHYLXANTHOHUMOL,Small molecule,C20H20O5,340.38,Demethylxanthohumol
CHEMBL1922224,Rel-Astrogorgol F,Small molecule,C27H42O2,398.63,Rel-Astrogorgol F
CHEMBL1922225,24-Exomethylenecalicoferol E,Small molecule,C28H42O2,410.64,24-Exomethylenecalicoferol E
CHEMBL456936,CALICOFEROL E,Small molecule,C27H42O2,398.63,Calicoferol E
CHEMBL517956,ASTROGORGIADIOL,Small molecule,C27H44O2,400.65,Astrogorgiadiol
CHEMBL456294,CALICOFEROL I,Small molecule,C27H42O3,414.63,Calicoferol I
CHEMBL515982,CALICOFEROL C,Small molecule,C28H44O2,412.66,Calicoferol C
