UniProt_ID,BindingDB_ID,chEMBL_ID,Molecule_name,IN_KI
P31749,BDBM24990,CHEMBL506153,GW876790X,IK0
P31749,BDBM24996,CHEMBL188434,SB747651,IK1
P31749,BDBM25013,CHEMBL494089,GSK690693,IK2
P31749,BDBM25474,CHEMBL521179,SR3677,IK3
P31749,BDBM29508,CHEMBL474390,FRENOLICIN B,IK4
P31749,BDBM29510,CHEMBL444165,DEOXYFRENOLICIN,IK5
P31749,BDBM60631,CHEMBL3112866,SAR260301,IK6
P31749,BDBM60631,CHEMBL3112866,SAR260301,IK7
P31749,BDBM60631,CHEMBL3112866,SAR260301,IK8
P31749,BDBM15211,CHEMBL104264,H89,IK9
P31749,BDBM25013,CHEMBL494089,GSK690693,IK10
P31749,BDBM50313650,CHEMBL1079175,MK2206,IK11
P31749,BDBM50326053,CHEMBL608533,MIDOSTAURIN,IK12
P31749,BDBM50308060,CHEMBL603469,LESTAURTINIB,IK13
P31749,BDBM50026612,CHEMBL502835,NINTEDANIB,IK14
P31749,BDBM50308060,CHEMBL603469,LESTAURTINIB,IK15
P31749,BDBM50326053,CHEMBL608533,MIDOSTAURIN,IK16
P31749,BDBM50398379,CHEMBL2177390,IPATASERTIB,IK17
P31749,BDBM50326053,CHEMBL608533,MIDOSTAURIN,IK18
P31749,BDBM50186460,CHEMBL209148,BMS509744,IK19
P31749,BDBM47167,CHEMBL201511,MALEIMIDE,IK20
P31749,BDBM50201227,CHEMBL391738,SKS927,IK21
P31749,BDBM21079,CHEMBL223360,LINIFANIB,IK22
P31749,BDBM50221346,CHEMBL237570,SB630812,IK23
P31749,BDBM158154,CHEMBL1983268,ENTRECTINIB,IK24
P31749,BDBM50170284,CHEMBL3137336,UPROSERTIB,IK25
P31749,BDBM50431630,CHEMBL372764,PERIFOSINE,IK26
P31749,BDBM15211,CHEMBL104264,H89,IK27
P31749,BDBM15131,CHEMBL379300,A443654,IK28
P31749,BDBM50304360,CHEMBL595349,"Benzene-1,2,3,4-Tetrayl Tetrakis(Hydrogen Phosphate)",IK29
P31749,BDBM15138,CHEMBL379218,A674563,IK30
P31749,BDBM50237622,CHEMBL263664,CCT128930,IK31
P31749,BDBM50237622,CHEMBL263664,CCT128930,IK32
P31749,BDBM50310142,CHEMBL609039,BI90H6,IK33
P31749,BDBM50310148,CHEMBL611079,BI90H9,IK34
P31749,BDBM50310146,CHEMBL599111,BI90H10,IK35
P31749,BDBM50310147,CHEMBL599518,BI98A10,IK36
P31749,BDBM50313650,CHEMBL1079175,MK2206,IK37
P31749,BDBM50316026,CHEMBL1089661,PTR6154,IK38
P31749,BDBM25013,CHEMBL494089,GSK690693,IK39
P31749,BDBM50316188,CHEMBL1096290,GSK1000163A,IK40
P31749,BDBM50316190,CHEMBL1096634,GSK943949A,IK41
P31749,BDBM50316191,CHEMBL1096626,GSK938890A,IK42
P31749,BDBM25013,CHEMBL494089,GSK690693,IK43
P31749,BDBM50277583,CHEMBL482967,CYC116,IK44
P31749,BDBM15211,CHEMBL104264,H89,IK45
P31749,BDBM16673,CHEMBL1336,SORAFENIB,IK46
P31749,BDBM13535,CHEMBL124660,TANDUTINIB,IK47
P31749,BDBM50326054,CHEMBL1240703,CGP52421,IK48
P31749,BDBM4814,CHEMBL535,SUNITINIB,IK49
P31749,BDBM50300690,CHEMBL576982,QUIZARTINIB,IK50
P31749,BDBM15131,CHEMBL379300,A443654,IK51
P31749,BDBM15131,CHEMBL379300,A443654,IK52
P31749,BDBM11242,CHEMBL1448,NICLOSAMIDE,IK53
P31749,BDBM50341243,CHEMBL1765740,GSK2334470,IK54
P31749,BDBM50316026,CHEMBL1089661,PTR6154,IK55
P31749,BDBM50350423,CHEMBL466154,NORLICHEXANTHONE,IK56
P31749,BDBM50350424,CHEMBL454440,ANOMALIN A,IK57
P31749,BDBM16223,CHEMBL389685,7-Azaindole,IK58
P31749,BDBM24627,CHEMBL86795,INDAZOLE,IK59
P31749,BDBM50355393,CHEMBL1852688,BGJ398,IK60
P31749,BDBM50355496,CHEMBL1908397,KW2449,IK61
P31749,BDBM50355495,CHEMBL1908391,MASITINIB,IK62
P31749,BDBM50306682,CHEMBL601719,CRIZOTINIB,IK63
P31749,BDBM27817,CHEMBL464552,GSK1838705A,IK64
P31749,BDBM50128285,CHEMBL300138,ENZASTAURIN,IK65
P31749,BDBM25013,CHEMBL494089,GSK690693,IK66
P31749,BDBM60665,CHEMBL475251,R406,IK67
P31749,BDBM13530,CHEMBL941,IMATINIB,IK68
P31749,BDBM25121,CHEMBL513909,BI2536,IK69
P31749,BDBM13535,CHEMBL124660,TANDUTINIB,IK70
P31749,BDBM25084,CHEMBL230011,TG100115,IK71
P31749,BDBM21079,CHEMBL223360,LINIFANIB,IK72
P31749,BDBM6568,CHEMBL386051,PD17395,IK73
P31749,BDBM50355501,CHEMBL1789941,RUXOLITINIB,IK74
P31749,BDBM5446,CHEMBL553,ERLOTINIB,IK75
P31749,BDBM26300,CHEMBL215152,AZD1152HQPA,IK76
P31749,BDBM25118,CHEMBL522892,DOVITINIB,IK77
P31749,BDBM50242737,CHEMBL450786,PHA665752,IK78
P31749,BDBM25045,CHEMBL573339,PI103,IK79
P31749,BDBM13216,CHEMBL1421,DASATINIB,IK80
P31749,BDBM16673,CHEMBL1336,SORAFENIB,IK81
P31749,BDBM50184807,CHEMBL377300,BRIVANIB,IK82
P31749,BDBM50309910,CHEMBL608154,ML120B,IK83
P31749,BDBM50355497,CHEMBL1614701,SELUMETINIB,IK84
P31749,BDBM15244,CHEMBL119385,NEFLAMAPIMOD,IK85
P31749,BDBM17055,CHEMBL91829,RUBOXISTAURIN,IK86
