BindingDB_ID,chEMBL_ID,Ki_nM,IC50_nM,Kd_nM,EC50_nM,Molecule_name,Molecule_type,Molecular_formula,Molecular_weight,Synonyms,IN_ID,chEMBL_URL
BDBM24990,CHEMBL506153,,126.0,,,GW876790X,Small molecule,C14H18N8O2,330.35,GW876790X,IN0,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL506153.png?bgColor=white
BDBM24996,CHEMBL188434,,200.0,,,SB747651,Small molecule,C16H22N8O,342.41,"SB-747651, SB-747651A",IN1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL188434.png?bgColor=white
BDBM25013,CHEMBL494089,,2.0,,,GSK690693,Small molecule,C21H27N7O3,425.49,GSK690693,IN2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL494089.png?bgColor=white
BDBM25474,CHEMBL521179,,7491.0,,,SR3677,Small molecule,C22H24N4O4,408.46,SR-3677,IN3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL521179.png?bgColor=white
BDBM29508,CHEMBL474390,,198.0,,,FRENOLICIN B,Small molecule,C18H16O6,328.32,Frenolicin B,IN4,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL474390.png?bgColor=white
BDBM29510,CHEMBL444165,,424.0,,,DEOXYFRENOLICIN,Small molecule,C18H18O6,330.34,deoxyfrenolicin,IN5,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL444165.png?bgColor=white
BDBM60631,CHEMBL3112866,,16.0,,,SAR260301,Small molecule,C19H22N4O3,354.41,SAR-260301,IN6,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL3112866.png?bgColor=white
BDBM15211,CHEMBL104264,,1700.0,,,H89,Small molecule,C20H20BrN3O2S,446.37,H-89,IN7,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL104264.png?bgColor=white
BDBM50313650,CHEMBL1079175,,10.0,,,MK2206,Small molecule,C25H21N5O,407.48,MK-2206,IN8,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1079175.png?bgColor=white
BDBM50326053,CHEMBL608533,,,950.0,,MIDOSTAURIN,Small molecule,C35H30N4O4,570.65,"NVP-PKC412, PKC-412, Midostaurin, CGP-41251, Rydapt",IN9,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL608533.png?bgColor=white
BDBM50308060,CHEMBL603469,,,4400.0,,LESTAURTINIB,Small molecule,C26H21N3O4,439.47,"A-1544750, KT-5555, SP-924, CEP-701, Cep-701, SPM-924, Lestaurtinib, SP924, KT-555, A-154475",IN10,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL603469.png?bgColor=white
BDBM50026612,CHEMBL502835,,,10000.0,,NINTEDANIB,Small molecule,C31H33N5O4,539.64,"Nintedanib, BIBF-1120, Vargatef, Ofev",IN11,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL502835.png?bgColor=white
BDBM50398379,CHEMBL2177390,,5.0,,,IPATASERTIB,Small molecule,C24H32ClN5O2,458.01,"RG-7440, Ipatasertib, GDC-0068",IN12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL2177390.png?bgColor=white
